"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Additional Google Account Login package is not installed. Please, run the following command in the SSH: composer require onelogin/php-saml","Additional Google Account Login package is not installed. Please, run the following command in the SSH: composer require onelogin/php-saml"
"Invalid SAML response.","Invalid SAML response."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"All other open sessions for this account were terminated.","All other open sessions for this account were terminated."
"Sign in with Google","Sign in with Google"
"Google Account Login","Google Account Login"
Information,Information
General,General
"Enable Admin Login with Google","Enable Admin Login with Google"
"Valid ACS URL","Valid ACS URL"
"Please copy this URL and insert into Google app.","Please copy this URL and insert into Google app."
"Valid Entity ID","Valid Entity ID"
"Identity Provider SSO URL","Identity Provider SSO URL"
"Identity Provider Entity ID","Identity Provider Entity ID"
"Identity Provider Certificate","Identity Provider Certificate"
"Please insert Public X.509 certificate of the IdP.","Please insert Public X.509 certificate of the IdP."
