"Store View:","Store View:"
"Customer Group:","Customer Group:"
"Date Range:","Date Range:"
From:,From:
To:,To:
Refresh,Refresh
"All Customer Groups","All Customer Groups"
"All Stores","All Stores"
"Something went wrong. Please try again or check your Magento log file.","Something went wrong. Please try again or check your Magento log file."
"Average Order Value (with Promo)","Average Order Value (with Promo)"
"Average Order Value (without Promo)","Average Order Value (without Promo)"
"Free Gift Reports","Free Gift Reports"
Today,Today
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
Overall,Overall
Custom,Custom
"Total Sales","Total Sales"
Orders,Orders
"Average Cart Total","Average Cart Total"
"Promo Items per Order","Promo Items per Order"
"Unable to save model %1","Unable to save model %1"
"Entity with specified ID ""%1"" not found.","Entity with specified ID ""%1"" not found."
"Unable to remove entity with ID%","Unable to remove entity with ID%"
"Amasty Free Gift","Amasty Free Gift"
"Amasty Free Gift Report","Amasty Free Gift Report"
"Number of Active Free Gift Promo Campaigns as of Today: ","Number of Active Free Gift Promo Campaigns as of Today: "
Statistics,Statistics
